"","TL0_keTL0_thy","TL0_negroot_thy","TL0_posroot_thy","T0_thy","Ttot_thy","Lss_thy","Dss_thy","SCIM_thy_keTL0","SCIM_thy_keTL_negroot","SCIM_thy_keTL_negroot26","SCIM_thy_keTL_negroot29","SCIM_thy_keTL_negroot31","SCIM_thy_keTL_posroot","AFIR_thy","AFIR_thy_simple","param.to.change","fold.change.param","TL0_sim","T0_sim","Ttot_sim","L_sim","D_sim","SCIM_sim","time_idx","TLss","param.to.change1","fold.change.param1","param","drug"
"23",0.366667,NA,Inf,0.5,0.00025,7.33333,6887.92,4.50633e-05,NA,NA,NA,NA,0,5.34064e-05,5.34064e-05,6000,1000,0.366667,0.5,0.000296209,7.33333,6881.3,5.31677e-05,314.9,1.94948e-05,6000,1000,"keDT","Pembro"
"24",0.366667,NA,Inf,0.5,2.5e-05,7.33333,6887.92,1.87263e-05,NA,NA,NA,NA,0,5.33787e-05,5.33787e-05,60000,10000,0.366667,0.5,7.11969e-05,7.33333,6881.3,5.31402e-05,314.9,1.94847e-05,60000,10000,"keDT","Pembro"
"25",0.366667,NA,Inf,0.5,2.5e-06,7.33333,6887.92,2.73671e-06,NA,NA,NA,NA,0,5.3376e-05,5.3376e-05,6e+05,1e+05,0.366667,0.5,4.86958e-05,7.33333,6881.3,5.31374e-05,314.9,1.94837e-05,6e+05,1e+05,"keDT","Pembro"
"26",0.366667,NA,Inf,0.5,2.5e-07,7.33333,6887.92,2.86911e-07,NA,NA,NA,NA,0,5.33757e-05,5.33757e-05,6e+06,1e+06,0.366667,0.5,4.64457e-05,7.33333,6881.3,5.31371e-05,314.9,1.94836e-05,6e+06,1e+06,"keDT","Pembro"
"27",366667,NA,Inf,0.5,0.25,7.33333,6887.92,6.76335e-07,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5e-06,1e-06,366667,0.5,366090,7.94336,6852.35,0.998427,314.9,366090,5e-06,1e-06,"koff_TL","Pembro"
"28",36666.7,NA,Inf,0.5,0.25,7.33333,6887.92,6.3069e-06,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5e-05,1e-05,36666.7,0.5,36094.5,7.93479,6852.72,0.984381,314.9,36094,5e-05,1e-05,"koff_TL","Pembro"
"29",3666.67,NA,Inf,0.5,0.25,7.33333,6887.92,3.76556e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5e-04,1e-04,3666.67,0.5,3133.1,7.85541,6856.1,0.854343,314.9,3132.59,5e-04,1e-04,"koff_TL","Pembro"
"30",366.667,NA,Inf,0.5,0.25,7.33333,6887.92,7.48702e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,0.005,0.001,366.667,0.5,76.2848,7.4601,6874.04,0.207195,314.9,75.9715,0.005,0.001,"koff_TL","Pembro"
"31",36.6667,NA,Inf,0.5,0.25,7.33333,6887.92,8.3081e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,0.05,0.01,36.6667,0.5,0.252427,7.33332,6881.29,6.57606e-05,314.9,0.00241122,0.05,0.01,"koff_TL","Pembro"
"32",3.66667,NA,Inf,0.5,0.25,7.33333,6887.92,8.40023e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,0.5,0.1,3.66667,0.5,0.250312,7.33333,6881.3,7.98633e-05,314.9,0.000292832,0.5,0.1,"koff_TL","Pembro"
"33",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5,1,0.366667,0.5,0.250052,7.33333,6881.3,8.37415e-05,314.9,3.07052e-05,5,1,"koff_TL","Pembro"
"34",0.0366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.41048e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,50,10,0.0366667,0.5,0.250024,7.33333,6881.3,8.41483e-05,314.9,3.08544e-06,50,10,"koff_TL","Pembro"
"35",0.00366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.41058e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,500,100,0.00366667,0.5,0.250021,7.33333,6881.3,8.41053e-05,314.9,3.08386e-07,500,100,"koff_TL","Pembro"
"36",0.000366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5000,1000,0.000366667,0.5,0.250021,7.33333,6881.3,8.41933e-05,314.9,3.08709e-08,5000,1000,"koff_TL","Pembro"
"37",3.66667e-05,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,50000,10000,3.66667e-05,0.5,0.250021,7.33333,6881.3,8.41937e-05,314.9,3.0871e-09,50000,10000,"koff_TL","Pembro"
"38",3.66667e-06,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5e+05,1e+05,3.66667e-06,0.5,0.250021,7.33333,6881.3,8.41944e-05,314.9,3.08713e-10,5e+05,1e+05,"koff_TL","Pembro"
"39",3.66667e-07,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5e+06,1e+06,3.66667e-07,0.5,0.250021,7.33333,6881.3,8.41937e-05,314.9,3.0871e-11,5e+06,1e+06,"koff_TL","Pembro"
"40",3.66667e-07,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5e-07,1e-06,3.66667e-07,0.5,0.250021,7.33333,6881.3,8.37415e-05,314.9,3.07052e-11,5e-07,1e-06,"kon_TL","Pembro"
"41",3.66667e-06,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5e-06,1e-05,3.66667e-06,0.5,0.250021,7.33333,6881.3,8.37415e-05,314.9,3.07052e-10,5e-06,1e-05,"kon_TL","Pembro"
"42",3.66667e-05,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5e-05,1e-04,3.66667e-05,0.5,0.250021,7.33333,6881.3,8.37415e-05,314.9,3.07052e-09,5e-05,1e-04,"kon_TL","Pembro"
"43",0.000366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.41059e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5e-04,0.001,0.000366667,0.5,0.250021,7.33333,6881.3,8.37415e-05,314.9,3.07052e-08,5e-04,0.001,"kon_TL","Pembro"
"44",0.00366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.41058e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,0.005,0.01,0.00366667,0.5,0.250021,7.33333,6881.3,8.37415e-05,314.9,3.07052e-07,0.005,0.01,"kon_TL","Pembro"
"45",0.0366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.41048e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,0.05,0.1,0.0366667,0.5,0.250024,7.33333,6881.3,8.37415e-05,314.9,3.07052e-06,0.05,0.1,"kon_TL","Pembro"
"46",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,0.5,1,0.366667,0.5,0.250052,7.33333,6881.3,8.37415e-05,314.9,3.07052e-05,0.5,1,"kon_TL","Pembro"
"47",3.66667,NA,Inf,0.5,0.25,7.33333,6887.92,8.40023e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5,10,3.66667,0.5,0.250327,7.33333,6881.3,8.3741e-05,314.9,0.00030705,5,10,"kon_TL","Pembro"
"48",36.6667,NA,Inf,0.5,0.25,7.33333,6887.92,8.3081e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,50,100,36.6667,0.5,0.253078,7.33331,6881.3,8.37366e-05,314.9,0.00307034,50,100,"kon_TL","Pembro"
"49",366.667,NA,Inf,0.5,0.25,7.33333,6887.92,7.48702e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,500,1000,366.667,0.5,0.280571,7.33306,6881.27,8.36928e-05,314.9,0.0306874,500,1000,"kon_TL","Pembro"
"50",3666.67,NA,Inf,0.5,0.25,7.33333,6887.92,3.76556e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5000,10000,3666.67,0.5,0.553947,7.33062,6881,8.326e-05,314.9,0.305287,5000,10000,"kon_TL","Pembro"
"51",36666.7,NA,Inf,0.5,0.25,7.33333,6887.92,6.3069e-06,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,50000,1e+05,36666.7,0.5,3.15473,7.30847,6859.01,7.95597e-05,314.9,2.91719,50000,1e+05,"kon_TL","Pembro"
"52",366667,NA,Inf,0.5,0.25,7.33333,6887.92,6.76335e-07,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,5e+05,1e+06,366667,0.5,245097,81.3686,1416.35,0.668345,314.9,245060,5e+05,1e+06,"kon_TL","Pembro"
"53",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.33658e-05,NA,NA,NA,NA,0,5.33718e-05,5.33757e-05,3.456e-06,1e-06,0.366667,0.5,0.250033,7.33333,6881.3,5.31372e-05,314.9,1.94836e-05,3.456e-06,1e-06,"koff_DT","Pembro"
"54",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.33661e-05,NA,NA,NA,NA,0,5.33721e-05,5.3376e-05,3.456e-05,1e-05,0.366667,0.5,0.250033,7.33333,6881.3,5.31374e-05,314.9,1.94837e-05,3.456e-05,1e-05,"koff_DT","Pembro"
"55",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.33689e-05,NA,NA,NA,NA,0,5.33749e-05,5.33787e-05,0.0003456,1e-04,0.366667,0.5,0.250033,7.33333,6881.3,5.31402e-05,314.9,1.94847e-05,0.0003456,1e-04,"koff_DT","Pembro"
"56",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.33965e-05,NA,NA,NA,NA,0,5.34025e-05,5.34064e-05,0.003456,0.001,0.366667,0.5,0.250033,7.33333,6881.3,5.31677e-05,314.9,1.94948e-05,0.003456,0.001,"koff_DT","Pembro"
"57",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.36731e-05,NA,NA,NA,NA,0,5.36792e-05,5.36831e-05,0.03456,0.01,0.366667,0.5,0.250033,7.33333,6881.3,5.34432e-05,314.9,1.95958e-05,0.03456,0.01,"koff_DT","Pembro"
"58",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,5.6439e-05,NA,NA,NA,NA,0,5.6446e-05,5.64501e-05,0.3456,0.1,0.366667,0.5,0.250035,7.33333,6881.3,5.61976e-05,314.9,2.06058e-05,0.3456,0.1,"koff_DT","Pembro"
"59",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,3.456,1,0.366667,0.5,0.250052,7.33333,6881.3,8.37415e-05,314.9,3.07052e-05,3.456,1,"koff_DT","Pembro"
"60",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.000360369,NA,NA,NA,NA,0,0.000360793,0.000360819,34.56,10,0.366667,0.5,0.250221,7.33333,6881.3,0.000359095,314.9,0.000131668,34.56,10,"koff_DT","Pembro"
"61",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.00309426,NA,NA,NA,NA,0,0.00312759,0.00312781,345.6,100,0.366667,0.5,0.25191,7.33332,6881.36,0.0031042,314.9,0.00113821,345.6,100,"koff_DT","Pembro"
"62",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.0278268,NA,NA,NA,NA,0,0.0307955,0.0307978,3456,1000,0.366667,0.5,0.268297,7.33324,6881.85,0.0297374,314.9,0.0109037,3456,1000,"koff_DT","Pembro"
"63",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.148838,NA,NA,NA,NA,0,0.307475,0.307497,34560,10000,0.366667,0.5,0.393918,7.33275,6885.84,0.233785,314.9,0.0857211,34560,10000,"koff_DT","Pembro"
"64",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.263718,NA,NA,NA,NA,0,3.07427,3.07449,345600,1e+05,0.366667,0.5,0.713286,7.33272,6897.81,0.75168,314.9,0.275616,345600,1e+05,"koff_DT","Pembro"
"65",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.28578,NA,NA,NA,NA,0,30.7422,30.7444,3456000,1e+06,0.366667,0.5,0.846839,7.33323,6904.01,0.967913,314.9,0.354901,3456000,1e+06,"koff_DT","Pembro"
"66",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.287476,NA,NA,NA,NA,0,84.1139,84.12,8.16e-06,1e-06,0.366667,0.5,0.859246,7.33329,6904.64,0.987992,314.9,0.362264,8.16e-06,1e-06,"kon_DT","Pembro"
"67",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.278898,NA,NA,NA,NA,0,8.41139,8.412,8.16e-05,1e-05,0.366667,0.5,0.79982,7.33301,6901.72,0.891808,314.9,0.326996,8.16e-05,1e-05,"kon_DT","Pembro"
"68",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.214802,NA,NA,NA,NA,0,0.841139,0.8412,0.000816,1e-04,0.366667,0.5,0.529521,7.33252,6890.55,0.453826,314.9,0.166403,0.000816,1e-04,"kon_DT","Pembro"
"69",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.0651277,NA,NA,NA,NA,0,0.0841139,0.08412,0.00816,0.001,0.366667,0.5,0.297496,7.3331,6882.75,0.0771828,314.9,0.0283003,0.00816,0.001,"kon_DT","Pembro"
"70",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.00817365,NA,NA,NA,NA,0,0.00841139,0.008412,0.0816,0.01,0.366667,0.5,0.255109,7.33331,6881.45,0.00830414,314.9,0.00304485,0.0816,0.01,"kon_DT","Pembro"
"71",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,0.000838754,NA,NA,NA,NA,0,0.000841139,0.0008412,0.816,0.1,0.366667,0.5,0.250515,7.33333,6881.31,0.000836773,314.9,0.000306817,0.816,0.1,"kon_DT","Pembro"
"72",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.40955e-05,NA,NA,NA,NA,0,8.41139e-05,8.412e-05,8.16,1,0.366667,0.5,0.250052,7.33333,6881.3,8.37415e-05,314.9,3.07052e-05,8.16,1,"kon_DT","Pembro"
"73",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.41176e-06,NA,NA,NA,NA,0,8.41139e-06,8.412e-06,81.6,10,0.366667,0.5,0.250005,7.33333,6881.3,8.37479e-06,314.9,3.07076e-06,81.6,10,"kon_DT","Pembro"
"74",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.41198e-07,NA,NA,NA,NA,0,8.41139e-07,8.412e-07,816,100,0.366667,0.5,0.250001,7.33333,6881.3,8.37485e-07,314.9,3.07078e-07,816,100,"kon_DT","Pembro"
"75",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.412e-08,NA,NA,NA,NA,0,8.41139e-08,8.412e-08,8160,1000,0.366667,0.5,0.25,7.33333,6881.3,8.37486e-08,314.9,3.07078e-08,8160,1000,"kon_DT","Pembro"
"76",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.412e-09,NA,NA,NA,NA,0,8.41139e-09,8.412e-09,81600,10000,0.366667,0.5,0.25,7.33333,6881.3,8.37486e-09,314.9,3.07078e-09,81600,10000,"kon_DT","Pembro"
"77",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.412e-10,NA,NA,NA,NA,0,8.41139e-10,8.412e-10,816000,1e+05,0.366667,0.5,0.25,7.33333,6881.3,8.37486e-10,314.9,3.07078e-10,816000,1e+05,"kon_DT","Pembro"
"78",0.366667,NA,Inf,0.5,0.25,7.33333,6887.92,8.412e-11,NA,NA,NA,NA,0,8.41139e-11,8.412e-11,8160000,1e+06,0.366667,0.5,0.25,7.33333,6881.3,8.37486e-11,314.9,3.07078e-11,8160000,1e+06,"kon_DT","Pembro"
"79",2.06254e-10,1.96163e-10,0.0594743,1.83186e-09,2e-07,0.01,8822.94,0.222666,0.222669,0.223172,0.223124,0.223172,7.34424e-10,0.220445,0.223172,1.4e-08,1e-06,1.96163e-10,1.83186e-09,1.69401e-07,0.01,8845.77,0.188003,314.9,3.68792e-11,1.4e-08,1e-06,"ksynT","VEGFR1"
"80",2.06254e-09,1.96163e-09,0.0594743,1.83186e-08,2e-06,0.01,8822.94,0.222666,0.222669,0.223173,0.223124,0.223173,7.34424e-09,0.220445,0.223172,1.4e-07,1e-05,1.96163e-09,1.83186e-08,1.69573e-06,0.01,8845.77,0.188049,314.9,3.68883e-10,1.4e-07,1e-05,"ksynT","VEGFR1"
"81",2.06254e-08,1.96162e-08,0.0594745,1.83186e-07,2e-05,0.01,8822.94,0.222666,0.222669,0.223173,0.223124,0.223173,7.34422e-08,0.220445,0.223172,1.4e-06,1e-04,1.96162e-08,1.83186e-07,1.69583e-05,0.00999999,8845.77,0.188284,314.9,3.69343e-09,1.4e-06,1e-04,"ksynT","VEGFR1"
"82",2.06255e-07,1.96156e-07,0.0594764,1.83187e-06,2e-04,0.01,8822.94,0.222665,0.222677,0.22318,0.223132,0.22318,7.34398e-07,0.220444,0.223172,1.4e-05,0.001,1.96156e-07,1.83187e-06,0.000169582,0.00999993,8845.77,0.188269,314.9,3.69301e-08,1.4e-05,0.001,"ksynT","VEGFR1"
"83",2.06261e-06,1.96093e-06,0.0594957,1.83192e-05,0.002,0.01,8822.94,0.222659,0.222749,0.223253,0.223204,0.223253,7.34161e-06,0.220437,0.223165,0.00014,0.01,1.96093e-06,1.83192e-05,0.00169583,0.00999926,8845.77,0.188318,314.9,3.69279e-07,0.00014,0.01,"ksynT","VEGFR1"
"84",2.06322e-05,1.95461e-05,0.0596881,0.000183246,0.02,0.01,8822.94,0.222593,0.223469,0.223975,0.223926,0.223975,7.31794e-05,0.220373,0.223099,0.0014,0.1,1.95461e-05,0.000183246,0.0169584,0.00999265,8845.75,0.188804,314.9,3.69038e-06,0.0014,0.1,"ksynT","VEGFR1"
"85",0.000206913,0.000189338,0.0616183,0.00183771,0.2,0.01,8822.94,0.221957,0.230696,0.231218,0.231167,0.231218,0.00070887,0.219751,0.222462,0.014,1,0.000189338,0.00183771,0.169596,0.00992697,8845.55,0.193647,314.9,3.66646e-05,0.014,1,"ksynT","VEGFR1"
"86",0.00211349,0.00143371,0.0813739,0.0187711,2,0.01,8822.94,0.217298,0.30466,0.305349,0.305282,0.305349,0.00536774,0.215194,0.217793,0.14,10,0.00143371,0.0187711,1.69705,0.009314,8843.63,0.240155,314.9,0.000344313,0.14,10,"ksynT","VEGFR1"
"87",0.0221286,0.00404016,0.288767,0.196537,20,0.01,8822.94,0.20754,1.08113,1.08358,1.08334,1.08358,0.0151261,0.20564,0.208012,1.4,100,0.00404016,0.196537,17.0372,0.00573981,8824.29,0.528486,314.9,0.00213517,1.4,100,"ksynT","VEGFR1"
"88",0.224714,0.0048857,2.38792,1.99581,200,0.01,8822.94,0.204374,8.94025,8.96048,8.95852,8.96048,0.0182918,0.202539,0.204839,14,1000,0.0048857,1.99581,170.972,0.00115857,8630.22,0.905274,314.9,0.00442289,14,1000,"ksynT","VEGFR1"
"89",2.25137,0.00498835,23.3878,19.9957,2000,0.01,8822.94,0.20399,87.5627,87.7609,87.7417,87.7609,0.0186761,0.202162,0.204454,140,10000,0.00498835,19.9957,1658.2,0.000104599,6750.98,0.991905,314.9,0.00494797,140,10000,"ksynT","VEGFR1"
"90",22.518,0.00499883,233.388,199.996,20000,0.01,8822.94,0.203951,873.791,875.769,875.577,875.769,0.0187154,0.202124,0.204415,1400,1e+05,0.00499883,199.996,5559.05,2.41509e-06,499.806,0.999992,314.9,0.00499879,1400,1e+05,"ksynT","VEGFR1"
"91",225.185,0.00499988,2333.39,2000,2e+05,0.01,8822.94,0.203947,8736.08,8755.85,8753.93,8755.85,0.0187193,0.20212,0.204411,14000,1e+06,0.00499988,2000,6479.67,2.3352e-07,40.334,1,314.9,0.00499988,14000,1e+06,"ksynT","VEGFR1"
"92",0.000206913,0.000189338,0.0616183,0.00183771,2e+05,0.01,8822.94,221527,230249,230769,230719,230769,707.498,17.9985,222030,7e-08,1e-06,0.000189338,0.00183771,1.15298,0.00952445,8845.76,1.26065,314.9,0.000238688,7e-08,1e-06,"keDT","VEGFR1"
"93",0.000206913,0.000189338,0.0616183,0.00183771,20000,0.01,8822.94,22152.7,23024.9,23076.9,23071.9,23076.9,70.7498,17.9854,22203,7e-07,1e-05,0.000189338,0.00183771,1.15293,0.00952447,8845.76,1.26059,314.9,0.000238677,7e-07,1e-05,"keDT","VEGFR1"
"94",0.000206913,0.000189338,0.0616183,0.00183771,2000,0.01,8822.94,2215.27,2302.49,2307.69,2307.19,2307.69,7.07498,17.8553,2220.3,7e-06,1e-04,0.000189338,0.00183771,1.15237,0.00952469,8845.76,1.26001,314.9,0.000238567,7e-06,1e-04,"keDT","VEGFR1"
